x1,x2,x3,x4,x5,x6,target
-5254.504658,-118.3780893,1.831236424,9.168051189,-0.030716531,0.510174612,0
-5254.833514,-118.881833,2.754196783,9.591832832,-0.148119687,0.680675914,1
16174.14574,235.3232862,-34.57935889,2.084614301,-2.428164176,-0.081671226,1
6216.253323,350.8293986,8.319157259,0.330956374,-8.042878301,0.43404646,1
-2863.73595,80.62496276,-7.631031851,-6.89725004,-4.618031554,5.478206633,1
1191.80521,290.8272697,-0.770162651,-9.495215049,-2.670015773,4.282010584,1
6375.595831,330.794689,-0.530504504,-5.082717873,-14.13167801,5.620926275,1
27879.07634,196.6169273,-15.19395547,-8.180052197,-33.99956926,18.31109497,1
6848.60986,310.7733923,-1.94134969,-5.122724393,-16.35141962,5.775328623,1
9062.126677,304.7741267,-0.191778167,-2.150759725,-17.36234376,4.838426571,1
16059.87207,338.3121181,0.85688153,-0.384738882,-22.04030344,7.22333535,1
10593.73411,263.0981239,-19.80256891,-1.032345679,-6.836271401,-3.24980775,1
40067.23309,347.4903223,-16.29163852,11.21246024,0.839313589,-3.642780573,1
-1287.515838,130.5880436,1.097109582,-4.979521887,-7.127609781,-3.578146694,1
31256.4713,134.5104849,-22.89107487,-5.991063106,-29.84131407,12.94058686,1
-5091.214819,-74.11892605,-0.305512573,-0.772435556,2.512588333,-0.754954949,1
-4208.123225,52.58995572,5.008237143,-12.35853604,5.331546472,-2.532055979,1
39596.07352,153.8248918,-10.66670795,2.886484336,-10.65513475,-3.526016434,1
-3790.570578,162.4084273,12.37151256,-29.9992305,12.46351964,6.759455696,1
-4966.888061,-34.26060851,-14.27539177,-8.120795706,20.38289798,-8.870232544,1
-1035.685724,-115.3352346,-43.67178113,-18.14291657,-21.69991859,-10.8958261,1
1656.706982,235.6103566,1.296390023,-6.168043113,-9.73344327,2.255839461,1
-2100.135503,36.66048131,-13.12778708,-3.291205737,-8.72302861,-3.550786291,1
-2938.441245,67.03300272,-2.085705315,-4.477274432,-5.786406265,-3.202779544,1
44167.80409,140.031483,-41.73157683,-4.87187053,-13.2455364,12.52044461,1
-56.82072017,112.1143923,-14.80249027,-3.281208888,-5.876991922,-2.073221222,1
-387.356785,93.02947892,-15.28190682,-2.972924794,-6.36412528,-1.899290393,1
-4660.40229,-37.26549094,-8.806497333,-1.835298434,0.230183129,0.738426744,1
4434.729783,235.2324773,-10.08414715,-7.280040559,-16.73861908,10.2043513,1
28851.33466,301.9783886,-8.825288658,9.024573877,-8.259181149,-2.089884702,1
5617.302765,370.7580901,-1.475476403,-5.453385617,-5.907728187,4.373133092,1
